GEO_ID,Geography,TRACT,TOTPOP,5+POP,TOTHH,TOTHU,OCCHU,POVERTY,UNEMPLOYED,PERCAP,noHSDIPL,65+,17-_abs,DISABLE,SINGLPAR_abs,ENGLTW_abs,10+UNITS_abs,MOBILEHOMES,HOUSCROWD_abs,noVEHICLE,GROUPQRTRS_abs,MINORITY_abs,17-,SINGLPAR,MINORITY,ENGLTW,10+UNITS,HOUSCROWD,GROUPQRTRS,r_POVERTY,r_UNEMPLOYED,r_PERCAP,r_noHSDIPL,r_65+,r_17-,r_DISABLE,r_SINGLPAR,r_MINORITY,r_ENGLTW,r_10+UNITS,r_MOBILEHOMES,r_HOUSCROWD,r_noVEHICLE,r_GROUPQRTRS,sc_SE,sc_HH,sc_ML,sc_HT,r_SE,r_HH,r_ML,r_HT,CDC_score,CDC_percrank
1400000US36103123101,"Census Tract 1231.01, Suffolk County, New York",123101,3827.0,3686.0,1253.0,1309.0,1253.0,1.6,4.0,35460.0,8.3,16.2,836.0,8.5,88.0,123.0,7.0,0.0,16.0,4.5,38.0,785.0,21.84478703945649,7.023144453312051,20.512150509537495,3.336950623982637,0.5347593582887701,1.2769353551476457,0.9929448654298405,0.053153611393692776,0.08621566632756866,0.3257884028484232,0.301119023397762,0.7558494404883012,0.46312309257375384,0.41098677517802645,0.4669379450661241,0.22049847405900305,0.358087487283825,0.16963377416073244,0.0,0.2711088504577823,0.17497456765005087,0.7540691759918616,0.7662767039674466,2.0968972533062056,0.578585961342828,1.3697863682604272,0.12767039674465921,0.5656154628687691,0.25127161749745675,0.2375381485249237,4.811546286876907,0.19837232960325535
1400000US36103123102,"Census Tract 1231.02, Suffolk County, New York",123102,3753.0,3568.0,1434.0,1457.0,1434.0,2.8,4.7,38359.0,6.6,12.2,643.0,11.4,64.0,36.0,66.0,0.0,0.0,8.7,3.0,512.0,17.132960298427925,4.463040446304045,13.64241939781508,1.0089686098654709,4.529855868222374,0.0,0.07993605115907274,0.1228382502543235,0.1309766022380468,0.2678026449643947,0.22253306205493387,0.49440488301119023,0.20218718209562564,0.7093082400813835,0.2960325534079349,0.13275686673448628,0.13809766022380468,0.3237538148524924,0.0,0.0,0.2998474059003052,0.3761444557477111,0.7441505595116988,1.7019328585961342,0.27085452695829093,0.9997456765005086,0.11953204476093592,0.27187182095625634,0.10223804679552391,0.1347914547304171,3.7166836215666326,0.06688708036622584
1400000US36103123201,"Census Tract 1232.01, Suffolk County, New York",123201,2054.0,2014.0,647.0,713.0,647.0,8.5,3.5,25803.0,10.9,14.8,430.0,13.7,47.0,149.0,90.0,0.0,6.0,11.3,6.0,1403.0,20.934761441090554,7.2642967542503865,68.30574488802337,7.398212512413108,12.622720897615709,0.9273570324574961,0.2921129503407984,0.4203967446592065,0.06180061037639878,0.5849440488301119,0.40488301119023395,0.6742115971515769,0.39623601220752797,0.8334181078331638,0.48245167853509663,0.5923194303153612,0.5701932858596134,0.4773652085452696,0.0,0.23143438453713122,0.34994913530010174,0.5742624618514751,1.4720244150559512,2.3863173957273656,1.1625127161749744,1.6330111902339777,0.3545269582909461,0.758646998982706,0.5824008138351984,0.32451678535096645,6.653865717192269,0.46668362156663273
1400000US36103123202,"Census Tract 1232.02, Suffolk County, New York",123202,8725.0,8148.0,2353.0,2530.0,2353.0,14.9,10.9,23298.0,29.8,12.9,2211.0,9.4,381.0,531.0,430.0,0.0,64.0,14.7,148.0,8181.0,25.340974212034386,16.19209519762006,93.76504297994269,6.516936671575847,16.99604743083004,2.7199320016999575,1.6962750716332378,0.623855544252289,0.6759918616480163,0.6584435401831129,0.8357070193285859,0.5450152594099695,0.6950661241098678,0.5124618514750763,0.775940996948118,0.7978128179043744,0.5320447609359105,0.5350966429298067,0.0,0.39750762970498477,0.4008138351983723,0.8072227873855544,2.793997965412004,2.5284842319430316,1.3298575788402849,2.140640895218718,0.7416073245167853,0.8273143438453713,0.6925228891149542,0.5282299084435402,8.792980671414039,0.7446592065106816
1400000US36103123301,"Census Tract 1233.01, Suffolk County, New York",123301,8080.0,7580.0,2546.0,2817.0,2546.0,10.2,10.4,20726.0,22.4,9.7,2224.0,7.9,421.0,272.0,404.0,19.9,163.0,21.8,45.0,7302.0,27.524752475247524,16.535742340926944,90.37128712871288,3.588390501319261,14.341498047568335,6.402199528672427,0.556930693069307,0.482706002034588,0.6434384537131231,0.7344862665310274,0.7202441505595117,0.31459816887080366,0.8128179043743642,0.3402848423194303,0.78382502543235,0.7507629704984741,0.37461851475076297,0.5040691759918616,0.995676500508647,0.6152085452695829,0.469735503560529,0.6795523906408952,2.5808748728382502,2.251525940996948,1.125381485249237,3.264242115971516,0.6795523906408952,0.67293997965412,0.5521363173957273,0.9155645981688708,9.222024415055952,0.7965412004069176
1400000US36103123401,"Census Tract 1234.01, Suffolk County, New York",123401,3954.0,3731.0,1233.0,1316.0,1233.0,4.6,9.4,30796.0,13.5,10.0,978.0,7.0,58.0,296.0,62.0,0.0,22.0,5.0,6.0,1202.0,24.73444613050076,4.703974047039741,30.399595346484574,7.9335298847493965,4.711246200607903,1.7842660178426601,0.15174506828528073,0.22609359104781282,0.5673957273652085,0.448118006103764,0.4921159715157681,0.3346897253306205,0.6561546286876907,0.23652085452695829,0.3161241098677518,0.33189216683621564,0.5897761953204476,0.32833163784333674,0.0,0.3189216683621567,0.19710071210579858,0.4626144455747711,1.7337232960325535,1.5434893184130214,0.9216683621566633,1.3069684638860632,0.43362156663275686,0.1871820956256358,0.4097151576805697,0.21820956256358087,5.505849440488301,0.29883011190233977
1400000US36103123402,"Census Tract 1234.02, Suffolk County, New York",123402,7795.0,7327.0,2539.0,2618.0,2539.0,9.2,5.3,28725.0,15.1,14.2,1941.0,8.2,231.0,410.0,362.0,0.0,56.0,6.4,44.0,2501.0,24.900577293136624,9.09807010634108,32.084669660038486,5.595741776989218,13.827349121466769,2.205592753052383,0.5644644002565747,0.4491353001017294,0.17293997965412003,0.49974567650050866,0.5445066124109867,0.638351983723296,0.6653102746693794,0.3769074262461852,0.5635808748728383,0.34689725330620547,0.4941505595116989,0.4961851475076297,0.0,0.35961342828077314,0.24008138351983724,0.681586978636826,1.6663275686673449,2.2441505595116986,0.8410478128179044,1.777466937945066,0.4153102746693795,0.6696337741607324,0.36876907426246186,0.38123092573753814,6.528992878942014,0.4491353001017294
1400000US36103123500,"Census Tract 1235, Suffolk County, New York",123500,6244.0,5883.0,2163.0,2456.0,2163.0,9.0,6.4,31840.0,12.0,19.2,1154.0,9.1,235.0,181.0,252.0,1.1,102.0,8.9,622.0,2104.0,18.481742472773863,10.864539990753583,33.696348494554776,3.076661567227605,10.260586319218241,4.715672676837726,9.961563100576553,0.4399796541200407,0.2873855544252289,0.4170905391658189,0.44074262461851477,0.8654628687690743,0.2609359104781282,0.4766022380467955,0.623855544252289,0.362410986775178,0.33850457782299087,0.44125127161749744,0.9242115971515769,0.5223804679552391,0.3041709053916582,0.9521871820956256,1.5851983723296033,2.226856561546287,0.7009155645981688,3.144201424211597,0.3906408952187182,0.6579348931841302,0.3072227873855544,0.8842828077314344,7.657171922685657,0.5996948118006104
1400000US36103123701,"Census Tract 1237.01, Suffolk County, New York",123701,6511.0,6026.0,1797.0,1910.0,1797.0,11.1,4.4,21115.0,30.4,8.8,1533.0,7.9,212.0,1393.0,171.0,0.0,206.0,15.1,15.0,4532.0,23.544770388573184,11.79744017807457,69.60528336661035,23.116495187520744,8.952879581151832,11.463550361713969,0.23037935800952236,0.5111902339776195,0.11037639877924721,0.7258392675483215,0.844354018311292,0.25,0.5826551373346898,0.3402848423194303,0.6546286876907427,0.5974059003051883,0.8903865717192269,0.42090539165818924,0.0,0.8087487283825026,0.405645981688708,0.5328077314343845,2.1917599186164805,1.8275686673448628,1.4877924720244151,2.1681078331637846,0.5643438453713123,0.3527466937945066,0.8118006103763988,0.5376398779247202,7.675228891149542,0.6024923702950152
1400000US36103123702,"Census Tract 1237.02, Suffolk County, New York",123702,7177.0,6912.0,2570.0,2821.0,2570.0,7.0,10.3,29149.0,19.5,11.3,1542.0,10.0,200.0,570.0,94.0,0.0,37.0,8.3,37.0,2903.0,21.48530026473457,7.782101167315175,40.44865542705866,8.246527777777777,3.3321517192484933,1.4396887159533074,0.5155357391667829,0.3522380467955239,0.6378433367243134,0.4903357070193286,0.6581892166836215,0.43438453713123093,0.43845371312309256,0.5859613428280773,0.5063580874872838,0.4203967446592065,0.6027466937945066,0.28992878942014244,0.0,0.2884028484231943,0.2904374364191251,0.6665818921668362,2.1386063072227874,1.9651576805696847,1.023143438453713,1.5353509664292981,0.551119023397762,0.46032553407934895,0.47278738555442523,0.28891149542217703,6.662258392675485,0.4677009155645982
