GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2012 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2012 inflation-adjusted dollars)
1400000US34003041301,34003041301,"Census Tract 413.01, Bergen County, New Jersey",24785,3765
1400000US34003041302,34003041302,"Census Tract 413.02, Bergen County, New Jersey",32786,5018
1400000US34003042100,34003042100,"Census Tract 421, Bergen County, New Jersey",41696,3380
1400000US34003042301,34003042301,"Census Tract 423.01, Bergen County, New Jersey",44870,6052
1400000US34003042302,34003042302,"Census Tract 423.02, Bergen County, New Jersey",36073,3118
1400000US34003042400,34003042400,"Census Tract 424, Bergen County, New Jersey",49044,11336
1400000US34003042500,34003042500,"Census Tract 425, Bergen County, New Jersey",44143,6771
1400000US34003043001,34003043001,"Census Tract 430.01, Bergen County, New Jersey",54963,5093
1400000US34003043002,34003043002,"Census Tract 430.02, Bergen County, New Jersey",43555,6176
1400000US34003044100,34003044100,"Census Tract 441, Bergen County, New Jersey",60229,8189
1400000US34003044201,34003044201,"Census Tract 442.01, Bergen County, New Jersey",67376,9724
1400000US34003044202,34003044202,"Census Tract 442.02, Bergen County, New Jersey",56217,6183
1400000US34003045100,34003045100,"Census Tract 451, Bergen County, New Jersey",30207,3880
1400000US34003045200,34003045200,"Census Tract 452, Bergen County, New Jersey",32911,4898
1400000US34003046100,34003046100,"Census Tract 461, Bergen County, New Jersey",35163,3730
1400000US34003046200,34003046200,"Census Tract 462, Bergen County, New Jersey",29978,4041
1400000US34003046300,34003046300,"Census Tract 463, Bergen County, New Jersey",33057,5323
1400000US34003047100,34003047100,"Census Tract 471, Bergen County, New Jersey",54458,5182
1400000US34003047200,34003047200,"Census Tract 472, Bergen County, New Jersey",89688,11226
1400000US34003047300,34003047300,"Census Tract 473, Bergen County, New Jersey",117614,18576
1400000US34003047400,34003047400,"Census Tract 474, Bergen County, New Jersey",53460,8069
1400000US34003047500,34003047500,"Census Tract 475, Bergen County, New Jersey",57480,5267
1400000US34003048100,34003048100,"Census Tract 481, Bergen County, New Jersey",35555,3302
1400000US34003048200,34003048200,"Census Tract 482, Bergen County, New Jersey",40920,2901
1400000US34003049001,34003049001,"Census Tract 490.01, Bergen County, New Jersey",63194,7481
1400000US34003049002,34003049002,"Census Tract 490.02, Bergen County, New Jersey",50194,4015
1400000US34003050000,34003050000,"Census Tract 500, Bergen County, New Jersey",33708,4587
1400000US34003051100,34003051100,"Census Tract 511, Bergen County, New Jersey",38065,6103
1400000US34003051200,34003051200,"Census Tract 512, Bergen County, New Jersey",50922,6816
1400000US34003051300,34003051300,"Census Tract 513, Bergen County, New Jersey",40335,6425
1400000US34003051400,34003051400,"Census Tract 514, Bergen County, New Jersey",42796,4959
1400000US34003052100,34003052100,"Census Tract 521, Bergen County, New Jersey",33495,3102
1400000US34003052200,34003052200,"Census Tract 522, Bergen County, New Jersey",34882,3748
1400000US34003053100,34003053100,"Census Tract 531, Bergen County, New Jersey",74956,14295
1400000US34003053200,34003053200,"Census Tract 532, Bergen County, New Jersey",80952,9842
1400000US34003054100,34003054100,"Census Tract 541, Bergen County, New Jersey",32103,3329
1400000US34003054200,34003054200,"Census Tract 542, Bergen County, New Jersey",28983,3112
1400000US34003054300,34003054300,"Census Tract 543, Bergen County, New Jersey",70708,9720
1400000US34003054400,34003054400,"Census Tract 544, Bergen County, New Jersey",36015,3692
1400000US34003054500,34003054500,"Census Tract 545, Bergen County, New Jersey",41158,3943
1400000US34003054600,34003054600,"Census Tract 546, Bergen County, New Jersey",37510,4190
1400000US34003055100,34003055100,"Census Tract 551, Bergen County, New Jersey",83928,13378
1400000US34003055200,34003055200,"Census Tract 552, Bergen County, New Jersey",55209,7643
1400000US34003056100,34003056100,"Census Tract 561, Bergen County, New Jersey",42323,3291
1400000US34003056200,34003056200,"Census Tract 562, Bergen County, New Jersey",39887,4575
1400000US34003057101,34003057101,"Census Tract 571.01, Bergen County, New Jersey",29117,3166
1400000US34003057102,34003057102,"Census Tract 571.02, Bergen County, New Jersey",32322,3718
1400000US34003057200,34003057200,"Census Tract 572, Bergen County, New Jersey",26244,3409
1400000US34003058100,34003058100,"Census Tract 581, Bergen County, New Jersey",52607,5527
1400000US34003058200,34003058200,"Census Tract 582, Bergen County, New Jersey",53859,10164
